id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
23051,3780,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,NULL,2003-09-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
179697,203503,The Battle for Mata-Nui,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
183066,72137,The Biggest Creators of Empires,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
190753,11261,The Black Mirror,"Black Mirror Castle stands over ancient lands with secrets buried and best forgotten. The crumbling ruins breathe with a life of their own, haunted by the past and waiting to meet the present. 
 
Following the sudden death of his grandfather, Samuel Gordon returns to his estate after an absence of twelve years. While attempting to understand the reasons behind his grandfather’s death, he uncovers an ancient family secret. As Samuel learns the truth of the mysterious origins of the land and history of Black Mirror Castle, he comes face to face with madness, murder, and the true reflection of his soul.",2003-10-17 00:00:00.000,24,NULL,80.0000,1,81.6588,52
75695,127149,The Butcher,NULL,2003-09-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
180694,209293,The Dog Master,NULL,2003-08-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
110982,24775,The Elder Scrolls III: Morrowind - Game of the Year Edition,"In Tribunal, you journey to the capital city of Morrowind, called Mournhold, to meet the other two god-kings of Morrowind, Almalexia and Sotha Sil. Your journey will lead you to the Clockwork City of Sotha Sil and massive, epic-sized dungeons, where strange and deadly creatures await you, including goblins, lich lords, and the mysterious Fabricants.

Bloodmoon takes you to the frozen Island of Solstheim where you'll experience snow, blizzards, and new creatures, including frost trolls, ice minions, and wolves... just to name a few. You'll have a choice of stories to follow and have the opportunity to defend the colony, take control over how the colony is built up, and eliminate the werewolves. Or, you can decide to join the werewolves and become one of them, opening up a whole new style of gameplay.",2003-10-31 00:00:00.000,5,NULL,NULL,NULL,71.7954,28
169829,23756,The Elder Scrolls Travels: Stormhold,NULL,2003-12-31 00:00:00.000,NULL,NULL,80.0000,1,NULL,NULL
105880,9829,The Entente: Battlefields WW1,NULL,2003-08-11 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
189917,3911,The Fairly OddParents: Breakin' da Rules,NULL,2003-11-18 00:00:00.000,3,NULL,NULL,NULL,41.0000,3
112154,27618,The Fate,NULL,2003-08-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
